x/h,Uc/U0,Uc_rms/U0
0.2,0.971025,0.0374834
0.4,0.968468,0.036687
0.6,0.964844,0.0349803
0.8,0.965788,0.0342696
1,0.962334,0.0334315
1.2,0.954883,0.0333891
1.4,0.962929,0.0330117
1.6,0.955698,0.0332695
1.8,0.957785,0.033722
2,0.960506,0.0347387
2.2,0.957559,0.03618
2.4,0.960751,0.0374947
2.6,0.960546,0.0394123
2.8,0.959497,0.0416525
3,0.961035,0.043519
3.2,0.961021,0.0455329
3.4,0.959782,0.0475341
3.6,0.960275,0.0502859
3.8,0.958954,0.0531077
4,0.956823,0.0562804
4.2,0.953539,0.0615316
4.4,0.950513,0.0642001
4.6,0.94597,0.0712095
4.8,0.940809,0.0729233
5,0.935651,0.0786573
5.2,0.929869,0.0820576
5.4,0.923621,0.0858201
5.6,0.916317,0.0912919
5.8,0.909667,0.0951989
6,0.901655,0.0976532
6.2,0.89359,0.104146
6.4,0.885635,0.105832
6.6,0.878186,0.110569
6.8,0.869323,0.113084
7,0.8625,0.115539
7.2,0.854384,0.116382
7.4,0.847308,0.1186
7.6,0.839523,0.119879
7.8,0.833258,0.122335
8,0.82499,0.122678
8.2,0.817417,0.124961
8.4,0.808528,0.126233
8.6,0.801108,0.128047
8.8,0.793085,0.129027
9,0.785862,0.129355
9.2,0.777635,0.131055
9.4,0.771211,0.130927
9.6,0.764647,0.131389
9.8,0.756767,0.131505
10,0.749926,0.132159
10.2,0.742768,0.132157
10.4,0.736871,0.131865
10.6,0.730775,0.13296
10.8,0.725045,0.132775
11,0.718276,0.133085
11.2,0.710453,0.134432
11.4,0.703878,0.134426
11.6,0.696164,0.136305
11.8,0.68758,0.136858
12,0.680643,0.136612
12.2,0.673847,0.136985
12.4,0.667688,0.135746
12.6,0.662026,0.135617
12.8,0.658254,0.133796
13,0.653119,0.133094
13.2,0.6479,0.133633
13.4,0.643949,0.13353
13.6,0.638287,0.135034
13.8,0.632623,0.13776
14,0.627431,0.13955
14.2,0.623992,0.140008
14.4,0.620407,0.14034
14.6,0.617028,0.141607
14.8,0.612997,0.143218
15,0.609501,0.145661
15.2,0.606888,0.147504
15.4,0.604266,0.147428
15.6,0.603428,0.148596
15.8,0.601691,0.148513
16,0.60275,0.148674
16.2,0.602652,0.149243
16.4,0.601868,0.150082
16.6,0.603219,0.149854
16.8,0.602541,0.149508
17,0.600933,0.149786
17.2,0.599724,0.148889
17.4,0.598847,0.148003
17.6,0.597992,0.146217
17.8,0.59678,0.144174
18,0.596049,0.142949
18.2,0.593342,0.140761
18.4,0.590594,0.140856
18.6,0.586216,0.14006
18.8,0.583625,0.140656
19,0.580982,0.141718
19.2,0.576648,0.14252
19.4,0.572677,0.143617
19.6,0.568995,0.14534
19.8,0.564297,0.147137
20,0.561534,0.148742
20.2,0.557478,0.148971
20.4,0.553866,0.149769
20.6,0.548997,0.150744
20.8,0.543892,0.153304
21,0.537668,0.157439
21.2,0.531467,0.161175
21.4,0.525552,0.164351
21.6,0.519252,0.168226
21.8,0.512572,0.172199
22,0.50412,0.175246
22.2,0.496094,0.179428
22.4,0.48764,0.182677
22.6,0.477739,0.18603
22.8,0.468903,0.188249
23,0.459682,0.189779
23.2,0.448545,0.192891
23.4,0.437835,0.195403
23.6,0.427324,0.196439
23.8,0.417337,0.195696
24,0.405163,0.196151
24.2,0.392699,0.1959
24.4,0.381809,0.195491
24.6,0.368451,0.196131
24.8,0.356369,0.194955
25,0.342053,0.193455
25.2,0.327953,0.191746
25.4,0.315041,0.189151
25.6,0.301556,0.186559
25.8,0.290313,0.183358
26,0.27636,0.179658
26.2,0.263,0.176268
26.4,0.249764,0.173425
26.6,0.235823,0.169887
26.8,0.221719,0.167199
27,0.206028,0.164281
27.2,0.190284,0.161196
27.4,0.175592,0.156997
27.6,0.160625,0.152664
27.8,0.147128,0.149489
28,0.132757,0.142936
28.2,0.117101,0.128613
