x/h,Urms/Uc
0.2,0.0382578
0.4,0.0379931
0.6,0.0364893
0.8,0.0354383
1,0.0348027
1.2,0.0349094
1.4,0.034404
1.6,0.034632
1.8,0.0354543
2,0.0360228
2.2,0.0380952
2.4,0.0393709
2.6,0.0415161
2.8,0.0438644
3,0.0454439
3.2,0.0479336
3.4,0.0502337
3.6,0.0536673
3.8,0.0556692
4,0.0600501
4.2,0.0639874
4.4,0.0675584
4.6,0.0737611
4.8,0.0769007
5,0.0822253
5.2,0.0860054
5.4,0.0907773
5.6,0.097876
5.8,0.102789
6,0.106795
6.2,0.114347
6.4,0.119339
6.6,0.123577
6.8,0.130421
7,0.134276
7.2,0.138554
7.4,0.142092
7.6,0.145587
7.8,0.148692
8,0.152533
8.2,0.156837
8.4,0.160921
8.6,0.164532
8.8,0.167643
9,0.17123
9.2,0.175189
9.4,0.176084
9.6,0.176311
9.8,0.180237
10,0.183853
10.2,0.187047
10.4,0.189273
10.6,0.192488
10.8,0.194232
11,0.196585
11.2,0.202932
11.4,0.207298
11.6,0.213881
11.8,0.21614
12,0.218947
12.2,0.222912
12.4,0.223139
12.6,0.225964
12.8,0.224081
13,0.224292
13.2,0.227833
13.4,0.22875
13.6,0.232432
13.8,0.236079
14,0.241
14.2,0.241633
14.4,0.242318
14.6,0.244554
14.8,0.248799
15,0.25365
15.2,0.257688
15.4,0.255193
15.6,0.254312
15.8,0.253029
16,0.251619
16.2,0.251873
16.4,0.254729
16.6,0.251959
16.8,0.250335
17,0.249583
17.2,0.247457
17.4,0.245962
17.6,0.241377
17.8,0.236832
18,0.234353
18.2,0.231105
18.4,0.230686
18.6,0.229451
18.8,0.232927
19,0.237031
19.2,0.239985
19.4,0.243609
19.6,0.250747
19.8,0.259838
20,0.271243
20.2,0.281548
20.4,0.290704
20.6,0.301293
20.8,0.313859
21,0.331252
21.2,0.347886
21.4,0.363083
21.6,0.379792
21.8,0.397498
22,0.413773
22.2,0.432889
22.4,0.450969
22.6,0.472387
22.8,0.491286
23,0.510594
23.2,0.537036
23.4,0.563286
23.6,0.584653
23.8,0.59711
24,0.619912
24.2,0.642066
24.4,0.661029
24.6,0.691399
24.8,0.71318
25,0.742818
25.2,0.770874
25.4,0.791297
25.6,0.818782
25.8,0.836331
26,0.862447
26.2,0.88958
26.4,0.920986
26.6,0.960366
26.8,1.01715
27,1.07324
27.2,1.13913
27.4,1.22918
27.6,1.33269
27.8,1.43646
28,1.56211
28.2,1.53177
