x/h,y0.5/h
0.2,0.479337
0.4,0.48204
0.6,0.483094
0.8,0.481989
1,0.483797
1.2,0.488885
1.4,0.491306
1.6,0.49715
1.8,0.501956
2,0.506447
2.2,0.513106
2.4,0.515739
2.6,0.522159
2.8,0.528896
3,0.534779
3.2,0.542397
3.4,0.548762
3.6,0.55538
3.8,0.559369
4,0.566329
4.2,0.573169
4.4,0.580779
4.6,0.589509
4.8,0.596771
5,0.603276
5.2,0.612334
5.4,0.618349
5.6,0.629689
5.8,0.642493
6,0.655911
6.2,0.665274
6.4,0.677681
6.6,0.690851
6.8,0.702777
7,0.712264
7.2,0.723396
7.4,0.730619
7.6,0.742333
7.8,0.753431
8,0.767036
8.2,0.778054
8.4,0.79374
8.6,0.80676
8.8,0.824744
9,0.840824
9.2,0.856481
9.4,0.869324
9.6,0.881694
9.8,0.891689
10,0.907815
10.2,0.927699
10.4,0.94089
10.6,0.95529
10.8,0.975765
11,0.999028
11.2,1.02396
11.4,1.04863
11.6,1.07834
11.8,1.10353
12,1.13361
12.2,1.16568
12.4,1.19664
12.6,1.22356
12.8,1.24551
13,1.27501
13.2,1.30433
13.4,1.32422
13.6,1.3562
13.8,1.38524
14,1.42157
14.2,1.45514
14.4,1.48896
14.6,1.5239
14.8,1.55633
15,1.58944
15.2,1.62159
15.4,1.65716
15.6,1.69489
15.8,1.7304
16,1.75573
16.2,1.78408
16.4,1.80824
16.6,1.83915
16.8,1.86987
17,1.89228
17.2,1.91252
17.4,1.92088
17.6,1.93897
17.8,1.95076
18,1.96002
18.2,1.961
18.4,1.96659
18.6,1.98223
18.8,1.99095
19,2.00893
19.2,2.03363
19.4,2.05735
19.6,2.08366
19.8,2.1087
20,2.13621
20.2,2.1537
20.4,2.17227
20.6,2.18891
20.8,2.20654
21,2.22086
21.2,2.24883
21.4,2.28194
21.6,2.31213
21.8,2.33642
22,2.33717
22.2,2.31669
22.4,2.27733
22.6,2.26331
22.8,2.25213
23,2.2421
23.2,2.25172
23.4,2.25431
23.6,2.26137
23.8,2.25125
24,2.26158
24.2,2.26334
24.4,2.24488
24.6,2.24141
24.8,2.25182
25,2.25935
25.2,2.25302
25.4,2.23105
25.6,2.23407
25.8,2.24522
26,2.30287
26.2,2.35465
26.4,2.41593
26.6,2.4886
26.8,2.56709
27,2.64046
27.2,2.76159
27.4,2.92992
27.6,3.11589
27.8,3.26768
28,3.53166
28.2,3.74262
