x_h,UC/UO,Urms/Uc
0.2,1,0.038128763
1,0.995723262,0.038986355
1.1,0.994111261,0.038685552
1.2,0.994012567,0.038854873
1.3,0.989702931,0.041284404
1.4,0.995196894,0.03956894
1.5,0.992926934,0.039195547
1.6,0.992433464,0.040242649
1.7,0.992729546,0.03953473
1.8,0.993453301,0.040168223
1.9,0.989966115,0.040509105
2,0.990985953,0.040898981
2.1,0.989538441,0.039994681
2.2,0.990887259,0.041135458
2.3,0.990393789,0.040425179
2.4,0.990854361,0.041634848
2.5,0.98825542,0.041810919
2.6,0.990821463,0.042333488
2.7,0.989341053,0.042696106
2.8,0.986051255,0.042705101
2.9,0.988847584,0.042983565
3,0.98776195,0.043863447
3.1,0.985393295,0.044603212
3.2,0.984702438,0.044701323
3.3,0.982925947,0.044982931
3.4,0.984274764,0.0452221
3.5,0.982037701,0.045626612
3.6,0.978517617,0.046564013
3.7,0.982169293,0.046859822
3.8,0.981281047,0.047304546
3.9,0.978616311,0.04780314
4,0.978715005,0.048672269
4.1,0.976938514,0.049501616
4.2,0.976083166,0.050252781
4.3,0.975096227,0.051450742
4.4,0.973879001,0.052697362
4.5,0.972267,0.053596806
4.6,0.973385531,0.054380154
4.7,0.970029937,0.056060503
4.8,0.966838833,0.057606587
4.9,0.967233609,0.05931771
5,0.962792381,0.06191485
5.1,0.960917196,0.061967202
5.2,0.958614337,0.063694705
5.3,0.957035234,0.06555292
5.4,0.953317762,0.066636759
5.5,0.951146495,0.069106253
5.6,0.949698983,0.070805044
5.7,0.946211797,0.073291148
5.8,0.944895878,0.073706566
5.9,0.94144159,0.076947269
6,0.939040037,0.07773963
6.1,0.93604632,0.079991565
6.2,0.933381584,0.081841252
10,0.804256999,0.147216427
20,0.575747607,0.199188618
30,0.457117479,0.20949982
